,Unnamed: 0,countryname,year,rile,leading,stance_positivity_score,gini Coefficient,RILE_stance_score_interaction
0,0,Sweden,1970,-9.664580645161289,45.90203225806452,0.2817045225806451,left,-2.722556076587304
1,31,Norway,1970,-15.82732258064516,51.91864516129032,0.274537775483871,left,-4.345197933155962
2,62,Denmark,1970,-6.841977272727274,36.096295454545455,0.26942807,left,-1.843420731574773
3,106,Finland,1970,-19.59651515151515,47.55412121212122,0.2769331539393939,left,-5.42692474713021
4,139,Iceland,1970,-14.29,43.27309375,0.2715394671875,left,-3.880298986109375
5,171,Belgium,1970,-4.707953488372093,47.49197674418605,0.2838067716279069,left,-1.3361490805092262
6,214,Netherlands,1970,3.591386363636364,41.73409090909091,0.2849276522727272,right,1.023285284995196
7,258,Luxembourg,1970,-17.430916666666665,34.965833333333336,0.316164825,left,-5.511042717506249
8,270,France,1970,-15.365846153846151,51.07838461538461,0.3238598569230769,left,-4.976380736886626
9,296,Italy,1970,2.5129999999999995,41.90989130434782,0.3441323045652174,left,0.8648044813723911
10,342,Spain,1970,-18.258911392405064,47.166974683544304,0.3507120921518987,left,-6.403621014846518
11,421,Greece,1970,-3.0991818181818185,38.25722448979592,0.3521150540816327,left,-1.0912685735179037
12,470,Portugal,1970,-10.660114285714286,45.163114285714286,0.3536115282857143,left,-3.769539304271804
13,505,Germany,1970,-8.037739130434783,41.02765217391304,0.3138090173913043,right,-2.5223150185693757
14,528,Austria,1970,-9.320785714285714,49.65085714285715,0.3016301089285714,left,-2.811429610299872
15,556,Switzerland,1970,-2.923,37.75670454545455,0.3277282075,right,-0.9579495505225
16,600,United Kingdom,1970,-10.223194444444443,44.88875,0.3321492436111111,left,-3.395626302011535
17,636,Ireland,1970,-17.216608695652177,34.745043478260875,0.326034552173913,left,-5.613209306040454
18,659,Cyprus,1970,0.2117499999999998,49.9721,0.322821638,left,0.06835748184649994
19,679,Bulgaria,1970,0.0624333333333331,48.758967741935486,0.3697728465217391,left,0.023086151384507158
20,710,Croatia,1970,-9.43307894736842,57.8734358974359,0.30784688625,left,-2.903943981697796
21,749,Czech Republic,1970,-12.334275862068964,40.8486551724138,,left,
22,778,Estonia,1970,-2.739260869565217,60.59960869565217,0.3182132330434782,left,-0.8716690574538372
23,801,Hungary,1970,-5.683478260869565,52.56630434782609,0.2977417360869565,left,-1.6922086844037805
24,824,Latvia,1970,6.7504,73.78786666666666,0.3532092333333333,right,2.384303608693333
25,854,Lithuania,1970,-6.2573,54.93303333333333,0.3655254673333333,left,-2.2872025067448662
26,884,Moldova,1970,-2.976272727272728,48.24890909090909,0.3026605586363636,left,-0.9008003662905373
27,906,Montenegro,1970,0.7921290322580649,71.30712903225808,0.3383360166666667,left,0.2680057814602152
28,937,Poland,1970,-1.1385937499999998,52.09696875,0.325028695,right,-0.3700756406976562
29,969,Romania,1970,-4.211071428571429,50.81135714285715,0.2841045857142857,right,-1.196384703627551
30,983,Russia,1970,-1.7106250000000005,40.569375,0.410108935,left,-0.7015425969343753
31,991,Serbia,1970,1.3555714285714284,44.80166666666667,0.3611603386666667,left,0.48957863622971426
32,1036,Slovakia,1970,6.621033333333333,48.908,0.2647022013333333,left,1.7526020984347106
33,1066,Slovenia,1970,-3.491558823529412,52.951764705882354,0.2469786802941176,left,-0.862340590404576
34,1100,Ukraine,1970,1.1646206896551723,56.295,0.2629812886206896,right,0.30627344971983345
