,countryname,year,rile,stance_positivity_score,gini Coefficient,leading,welfare spending,electoral_dem_ind,GNI
955,Poland,2015,-6.058142857142856,60.98614285714286,0.31823528,right,20.219,0.875,459254808330.017
962,Poland,2019,-4.872571428571428,64.137,0.30239472,right,21.186,0.684,571159107927.723
969,Romania,2008,0.4859999999999999,41.11625,0.29583812,right,,0.622,209607934746.619
973,Romania,2012,-7.4755,41.3935,0.27334237,right,,0.672,176171391499.914
977,Romania,2016,-5.166166666666666,63.553333333333335,0.28345704,left,,0.732,182790641466.522
983,Russia,2007,3.3287500000000003,35.61,0.42272472,left,,0.312,
987,Russia,2011,-6.75,45.528749999999995,0.39749315,right,,0.296,
991,Serbia,2007,0.13666666666666671,32.7665,0.287067,left,,0.638,41831111909.4665
997,Serbia,2008,3.8748000000000005,48.095,0.2756142,right,,0.631,50760930307.6799
1002,Serbia,2012,1.3718749999999997,40.519625,0.39924657,left,,0.595,41878044815.8703
1010,Serbia,2014,1.6086666666666662,37.342625,0.40494144,left,,0.449,45266921076.7299
1018,Serbia,2016,-6.510454545454545,59.00009090909091,0.38832498,left,,0.416,38446580339.214
1029,Serbia,2020,14.621333333333332,43.87171428571428,0.34952334,left,,0.354,51732849140.7583
1036,Slovakia,2006,1.1633333333333336,52.4185,0.2770951,left,,0.823,
1042,Slovakia,2010,11.834750000000001,41.386,0.2731572,left,,0.854,
1050,Slovakia,2012,9.146142857142857,40.73371428571429,0.26116297,left,,0.852,
1057,Slovakia,2016,3.6611111111111114,59.611666666666665,0.25167745,right,,0.841,
1066,Slovenia,2008,-4.048625,46.931625000000004,0.23718019,left,19.88,0.829,54319399961.3
1074,Slovenia,2011,0.4312,39.7627,0.24868034,right,23.441,0.866,50883600760.681
1084,Slovenia,2014,-4.6932857142857145,60.96371428571429,0.25657535,left,23.089,0.868,49538339538.6998
1091,Slovenia,2018,-6.420333333333334,66.726,0.24633363999999996,right,21.325,0.832,53372127792.3945
1100,Ukraine,2006,4.9696,35.691,0.29794392,right,,0.57,106031485148.515
1105,Ukraine,2007,-5.364166666666667,43.71866666666667,0.27012688,left,,0.601,142060594059.406
1111,Ukraine,2012,-13.222399999999999,61.2454,0.24740656999999996,left,,0.476,180602773435.061
1116,Ukraine,2014,14.165428571428572,71.512,0.24025366,right,,0.41,131977538852.591
1123,Ukraine,2019,1.344166666666667,64.16283333333332,0.26619467,right,,0.524,155795133939.49
