,Unnamed: 0,countryname,year,rile,stance_positivity_score,gini Coefficient,leading,RILE_stance_score_interaction
0,0,Sweden,1970,-10.283625,58.764,0.2997419,left,-604.3069395000001
1,8,Norway,1970,-15.352666666666668,60.14244444444444,0.2698733,left,-923.3469020740741
2,17,Denmark,1970,-6.543842105263158,50.18000000000001,0.2793860389473684,left,-328.3699968421053
3,36,Finland,1970,-19.870411764705885,50.911235294117645,0.2743836894117647,left,-1011.6272087439447
4,53,Iceland,1970,-20.732533333333333,45.7096875,0.2661699718749999,left,-947.67761975
5,69,Belgium,1970,-11.638571428571428,65.63985714285715,0.27219802,left,-763.9541659183674
6,76,Netherlands,1970,-3.587846153846154,55.20638461538461,0.2853582,right,-198.07201471005914
7,89,France,1970,-8.3333,66.8959,0.31632066,right,-557.46360347
8,99,Italy,1970,-0.9353636363636364,47.28909090909092,0.35222572,left,-44.23249603305786
9,110,Spain,1970,-19.649654545454545,52.00094545454546,0.3509284310909091,left,-1021.8006142188431
10,165,Greece,1970,-9.759,39.511375,0.3515565020833333,left,-385.591508625
11,189,Portugal,1970,-11.042125,54.936,0.33797955,left,-606.610179
12,205,Germany,1970,-10.61,58.29266666666666,0.31851348,right,-618.4851933333332
13,211,Austria,1970,-9.133727272727272,57.673545454545454,0.2995302554545454,right,-526.7744350330578
14,222,Switzerland,1970,-3.256,47.62422727272727,0.32306957,right,-155.06448399999996
15,244,United Kingdom,1970,-13.4464,46.84196666666666,0.3293884603333333,left,-629.8558205866666
16,274,Ireland,1970,-23.3208,39.3764,0.32807598,left,-918.2891491199998
17,284,Cyprus,1970,-2.6575,44.56175,0.32891795,right,-118.42285062500002
18,292,Bulgaria,1970,9.6958,72.176,0.40379047,right,699.8040608
19,297,Croatia,1970,-8.273541666666667,60.44276,0.3037231964,left,-500.0756933083333
20,322,Czech Republic,1970,-20.07788888888889,50.71233333333333,,left,-1018.196593962963
21,331,Estonia,1970,0.6370909090909097,70.86354545454546,0.3180542636363636,left,45.146520595041366
22,342,Hungary,1970,-10.100285714285716,53.46314285714285,0.2961204299999999,right,-539.9930180408163
23,349,Latvia,1970,5.53757142857143,73.42871428571428,0.3509615,right,406.61675026530617
24,356,Lithuania,1970,-13.296133333333334,65.7958,0.37093158,left,-874.8297295733333
25,371,Moldova,1970,-12.4392,62.1416,0.26016647,left,-772.9917907199999
26,376,Montenegro,1970,-2.0410625,70.7633125,0.38487947,left,-144.43234351953123
27,392,Poland,1970,-5.465357142857143,62.56157142857143,0.310315,right,-341.9213312755102
28,406,Romania,1970,-5.166166666666666,63.553333333333335,0.28345704,left,-328.3271122222222
29,412,Serbia,1970,0.9478235294117644,53.11683333333334,0.3732354533333333,left,50.345384441176456
30,430,Slovakia,1970,3.661111111111112,59.611666666666665,0.25167745,right,218.24493518518523
31,439,Slovenia,1970,-6.420333333333334,66.726,0.2463336399999999,right,-428.403162
32,448,Ukraine,1970,1.344166666666667,64.16283333333332,0.26619467,right,86.24554180555556
